N,P,K,temperature,humidity,ph,rainfall,label
90,42,43,20.879744,82.002744,6.502985,202.935536,rice
85,58,41,21.770462,80.319644,7.038096,226.655537,maize
60,55,44,23.004459,82.320763,7.840207,263.964248,jute
75,58,38,26.491096,80.158363,6.980401,242.864034,cotton
20,30,10,30.2,85.5,6.0,100.3,coconut
30,15,35,25.0,90.1,6.8,110.5,papaya
20,10,10,20.0,80.2,6.3,80.4,orange
120,125,200,10,60,6.5,100,apple
100,20,50,35,20,6.0,50,muskmelon
100,15,50,35,25,6.5,50,watermelon
70,15,45,20,65,6.0,70,grapes
10,10,15,30,60,6.0,150,mango
100,80,50,27,80,6.0,100,banana
20,20,40,30,20,6.0,70,pomegranate
20,70,80,20,20,6.5,100,lentil
40,60,80,25,60,6.5,100,blackgram
20,50,20,30,40,7.0,50,mungbean
20,40,20,30,50,6.5,50,mothbeans
20,70,80,25,70,6.0,150,pigeonpeas
20,70,80,20,65,5.5,80,kidneybeans
20,70,80,20,20,5.5,80,chickpea
100,40,20,23,60,6.5,150,coffee
